File,SizeKB,DateCreated,DateModified,MD5,Notes
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Europe\Trip Planning Air Fares.DOC,10.2,1998-09-04,2017-12-14,A4D076D623E07C5138DCCFAFCA71A602,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Europe\Trip Planning Liechtenstein.DOC,10.8,1998-09-04,2017-12-14,B1ABDACD05E68DDAAD5F92ACB084CA91,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Europe\Trip2 Video Schedule.DOC,5.1,1998-09-04,2017-12-14,6CBD15632C0FD956A65F46EEBDBD8D49,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Citibank Coverup in 90.DOC,12.8,1998-09-04,2017-12-14,A0AAFA942C042E19FAEE0E59089E53BE,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\FBI Update and Answers\FBI Case Update.DOC,5.1,1998-09-04,2017-12-14,EE2E05A03E4024099ADE383DEC8FDE96,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\FBI Update and Answers\Q and A  FBI.DOC,10.8,1998-09-04,2017-12-14,EA5A36E5A6291701233D078655FE2020,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Florida Arrest 2 Trials.DOC,15.4,1998-09-04,2017-12-14,FB2AD4CF88D4FC0237FCD2264D4B01C5,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Iazzetti Mafia Notes.DOC,10.8,1998-09-04,2017-12-14,B93AB9B220774508590B16C4160A4269,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Jersey City Files Notes\Iazzetti Company Records.DOC,17.4,1998-09-04,2017-12-14,BFC11C98D762503D976D8E5BF626C899,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Jersey City Files Notes\Jersey City MSM Widow.DOC,10.2,1998-09-04,2017-12-14,F6D58443625B82F3A52B6F4A4CA3F8DF,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Jersey City Files Notes\Jersey City Probate Court.DOC,10.8,1998-09-04,2017-12-14,91F8A4C5F27D64D55A1E0E5CF936152B,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Jersey City Files Notes\Jersey City Witnesses.DOC,11.3,1998-09-04,2017-12-14,1CDB7A46FD5F3C90BADCDBBC987114E3,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Loss in Louisville.DOC,17.9,1998-09-04,2017-12-14,26C139C0089AC7EBAEB9FBC5E7012A49,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Pottsville Trial Notes.DOC,5.6,1998-09-04,2017-12-14,75C29D0D4C8025037094717B6AFD2572,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\SEC Case Notes.DOC,12.8,1998-09-04,2017-12-14,48FEB186C03220E043B54825D59BF9D1,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\SEC Citibank Testimony.DOC,18.4,1998-09-04,2017-12-14,FA114F622C875CDBFE6E73769C1EF9C4,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Second Bank Chase.DOC,11.8,1998-09-04,2017-12-14,5327AEE480551A444B522BF15D9DB8BB,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Second Bank Swiss Deals.DOC,10.8,1998-09-04,2017-12-14,B3703A0F1318B4EEF00834E6DD6B7049,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Second Bank Waterbury.DOC,10.8,1998-09-04,2017-12-14,67F7EB121DDBCB502CD853234C7C26EF,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Third Bank Notes\Third Bank Problem.DOC,6.1,1998-09-04,2017-12-14,EA56D3550E3E231E27BD47B03F3E19C8,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Third Bank Notes\Third Bank Reply.DOC,5.6,1998-09-04,2017-12-14,B6D9636C068D115BAF263B855CDC547A,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Updates US Trials.DOC,5.6,1998-09-04,2017-12-14,07D393C584FA705C9806665FE189DE59,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Wrong MSM\Wrong Man = MSM Meyers.DOC,10.8,1998-09-04,2017-12-14,62EC2790EF6257FABC342B1D7C0BCC42,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Fed Agencies\Wrong MSM\Wrong Name = MSM McCarthy.DOC,10.2,1998-09-04,2017-12-14,2AB27ACE95C6A5EC8CC9DC31B95955DA,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Key Letters\Evening Standard Ltr 97.DOC,12.8,1998-09-04,2017-12-14,E16806BE7A30DE13E5F4E163BD5DAC9D,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Key Letters\Fax FBI re script.DOC,5.6,1998-09-04,2017-12-14,3B7550217377726546488E208FA20DAE,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Key Letters\Fax Photos for London.DOC,14.3,1998-09-04,2017-12-14,468A04DF536BAF7B8FEA7DC0EDA2CD30,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Key Letters\Lawyer Update Note.DOC,5.1,1998-09-04,2017-12-14,A68E44E23EA34B38B98D60E0F0A1CBF1,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Key Letters\Reply to Citibank Letter.DOC,5.6,1998-09-04,2017-12-14,193698EC590C091E49A6D48576249050,
