FITS_File_Path,FITS_Format_Name,FITS_Format_Version,FITS_PUID,FITS_Identifying_Tool(s),FITS_Multiple_IDs,FITS_Date_Last_Modified,FITS_Size_KB,FITS_MD5,FITS_Creating_Application,FITS_Valid,FITS_Well-Formed,FITS_Status_Message,NARA_Format Name,NARA_File Extension(s),NARA_PRONOM URL,NARA_Risk Level,NARA_Proposed Preservation Plan,NARA_Match_Type,Technical_Appraisal,Other_Risk
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Production = Blood\Blood = Close Caption   .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-04-05,19.456,2274ff4d0cc28d8c5bd9942071a5af32,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Blood = SCRIPTS\Blood = Script # 6  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-03-06,53.248,a50550105207c62c77ef16636848b762,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Blood = SCRIPTS\Blood = Script # 7  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-03-06,56.832,508715e058702d5b6b4732f1fef262db,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Blood = SCRIPTS\Blood = Script # 8  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-03-10,59.392,9cfb8569a5c03e99dba09a04d6acad57,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Blood = SCRIPTS\Blood = Script #10 .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-03-28,56.832,14973b5cbae75bbb61d718eb5931e3e3,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\BLOOD FINAL = Script #11.doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-04-07,46.08,8aee02c3495d078c1df23c409f84a540,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Production = Blood\Bloody Fonts  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-03-21,19.968,fd6f7e182b882ac78883f60d32f7195e,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Rights and Requests\Legal = CBC contract  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-10-14,19.968,7393dfe08abdf8d8100320ebafc073bd,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = TOUGH JUSTICE\Re-Run = Sheriff, Sept. 2000\Legal = Phoenix Re-run  .doc",Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2276-07-25,23.04,f0fb7f719429b2e9deeccbaa5d797e7b,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Interviews = Planning\Lynch = Henderson Food Memo  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2268-11-01,20.992,5a79128b2952c3bcd3cc1a9a11a94534,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Rights and Requests\Memo = CBC payment  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2264-10-14,20.48,2a10af336e620680497c79c8b65a3f38,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Arrest Warrants  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-06-04,31.232,32de5196bd8a8ca7832c14e67d2fd8b9,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Cop's Undercover Buy  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-08-01,27.648,9c71ff8b41487f55e13545b86fd3df2e,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Court Records  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-06-03,26.624,1c8075642375699e037d3b23b466a86e,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Final Notes  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-08-01,25.6,afa40027410a6aeea573db54ee732850,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Insider Interviews  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2004-07-28,39.936,a82957f1dbbead0460294851949cc098,Microsoft Word 9.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Master Memo .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-06-22,33.28,e4a90e7a450581f91eb7a0a98a8003b6,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
