FITS_FORMAT,NOTES
Adobe Font Metric,
DOS batch file,
DOS/Windows Executable,Also high risk
empty,
Microsoft Windows Autorun,
MS Windows icon resource,Also high risk
PE32 executable,Also high risk
TFF/TrueType Font,
Unknown Binary,
x86 boot sector,Also high risk
